1,Arizona,Cardinals,ARI
2,Atlanta,Falcons,ATL
3,Baltimore,Ravens,BAL
4,Buffalo,Bills,BUF
5,Carolina,Panthers,CAR
6,Chicago,Bears,CHI
7,Cincinnati,Bengals,CIN
8,Cleveland,Browns,CLE
9,Dallas,Cowboys,DAL
10,Denver,Broncos,DEN
11,Detroit,Lions,DET
12,Green Bay,Packers,GNB
13,Houston,Texans,HOU
14,Indianapolis,Colts,IND
15,Jacksonville,Jaguars,JAX
16,Kansas City,Chiefs,KAN
17,Los Angeles,Chargers,LAC
18,Los Angeles,Rams,LAR
19,Miami,Dolphins,MIA
20,Minnesota,Vikings,MIN
21,New England,Patriots,NWE
22,New Orleans,Saints,NOR
23,New York,Giants,NYG
24,New York,Jets,NYJ
25,Oakland,Raiders,OAK
26,Philadelphia,Eagles,PHI
27,Pittsburgh,Steelers,PIT
28,San Francisco,49ers,SFO
29,Seattle,Seahawks,SEA
30,Tampa Bay,Buccaneers,TAM
31,Tennessee,Titans,TEN
32,Washington,Redskins,WAS
33,None,None,XXX
